date,nav
2024-02-19,35169.95
2024-02-20,35175.47
2024-02-21,35385.56
2024-02-22,35826.13
2024-02-23,35806.33
2024-02-26,35786.54
2024-02-27,36246.98
2024-02-28,36495.59
2024-02-29,36411.87
2024-03-01,36601.03
2024-03-04,36518.7
2024-03-05,36435.94
2024-03-06,36544.17
2024-03-07,36069.89
2024-03-08,35652.04
2024-03-11,35545.76
2024-03-12,35321.3
2024-03-13,35445.11
2024-03-14,35248.77
2024-03-15,34921.97
2024-03-18,35341.94
2024-03-19,35324.6
2024-03-20,35383.93
2024-03-21,35052.63
2024-03-22,34952.78
2024-03-25,35022.72
2024-03-26,34765.74
2024-03-27,34903.42
2024-03-28,34789.47
2024-03-29,34755.43
2024-04-01,34641.68
2024-04-02,35157.39
2024-04-03,35195.36
2024-04-04,34961.42
2024-04-05,35215.48
2024-04-08,34938.89
2024-04-09,35034.12
2024-04-10,34567.41
2024-04-11,34268.45
2024-04-12,34358.81
2024-04-15,34587.11
2024-04-16,34671.78
2024-04-17,34683.02
2024-04-18,34646.67
2024-04-19,34308.48
2024-04-22,34166.21
2024-04-23,34090.06
2024-04-24,34396.96
2024-04-25,34525.02
2024-04-26,34115.33
2024-04-29,34237.4
2024-04-30,34180.23
2024-05-01,34049.35
2024-05-02,34243.65
2024-05-03,34545.32
2024-05-06,34824.15
2024-05-07,34648.98
2024-05-08,34610.58
2024-05-09,34736.26
2024-05-10,35028.01
2024-05-13,34945.14
2024-05-14,34938.36
2024-05-15,34693.56
2024-05-16,34427.39
2024-05-17,34675.02
2024-05-20,35063.94
2024-05-21,35086.63
2024-05-22,35388.59
2024-05-23,35525.05
2024-05-24,35397.38
2024-05-27,35533.81
2024-05-28,35980.17
2024-05-29,36013.08
2024-05-30,36472.55
2024-05-31,35808.53
2024-06-03,36068.57
2024-06-04,36134.37
2024-06-05,36097.05
2024-06-06,36164.16
2024-06-07,35674.93
2024-06-10,35659.03
2024-06-11,35795.35
2024-06-12,36229.06
2024-06-13,36132.86
